system:time_start,maximum_2m_air_temperature
"Apr 1, 2016",273.394
"May 1, 2016",279.126
"Jun 1, 2016",290.482
"Jul 1, 2016",296.022
"Aug 1, 2016",292.04
"Sep 1, 2016",286.85
"Oct 1, 2016",279.596
"Nov 1, 2016",274.312
"Dec 1, 2016",265.773
"Jan 1, 2017",269.753
"Feb 1, 2017",261.755
"Mar 1, 2017",266.677
"Apr 1, 2017",272.388
"May 1, 2017",281.704
"Jun 1, 2017",289.231
"Jul 1, 2017",293.949
"Aug 1, 2017",293.006
"Sep 1, 2017",290.623
"Oct 1, 2017",281.11
"Nov 1, 2017",272.636
"Dec 1, 2017",269.558
"Jan 1, 2018",258.411
"Feb 1, 2018",261.094
"Mar 1, 2018",271.779
"Apr 1, 2018",273.55
"May 1, 2018",279.916
"Jun 1, 2018",283.67
"Jul 1, 2018",295.242
"Aug 1, 2018",296.132
"Sep 1, 2018",285.856
"Oct 1, 2018",275.91
"Nov 1, 2018",272.568
"Dec 1, 2018",266.266
"Jan 1, 2019",267.814
"Feb 1, 2019",265.237
"Mar 1, 2019",266.994
"Apr 1, 2019",274.939
"May 1, 2019",285.536
"Jun 1, 2019",287.481
"Jul 1, 2019",291.954
"Aug 1, 2019",293.104
"Sep 1, 2019",287.823
"Oct 1, 2019",287.071
"Nov 1, 2019",272.124
"Dec 1, 2019",271.279
"Jan 1, 2020",265.439
"Feb 1, 2020",259.904
"Mar 1, 2020",270.859
"Apr 1, 2020",276.753
"May 1, 2020",279.234
"Jun 1, 2020",290.258
