date,mean_temp_k,mean_temp_c
01-Dec-12,255.965,-17.185
01-Jan-13,249.894,-23.256
01-Feb-13,252.181,-20.969
01-Mar-13,262.202,-10.948
01-Apr-13,263.763,-9.387
01-May-13,268.542,-4.608
01-Jun-13,273.978,0.828
01-Jul-13,280.42,7.27
01-Aug-13,281.436,8.286
01-Sep-13,275.34,2.19
01-Oct-13,271.361,-1.789
01-Nov-13,261.517,-11.633
01-Dec-13,248.038,-25.112
01-Jan-14,251.093,-22.057
01-Feb-14,247.183,-25.967
01-Mar-14,250.205,-22.945
01-Apr-14,259.474,-13.676
01-May-14,271.11,-2.04
01-Jun-14,279.657,6.507
01-Jul-14,281.278,8.128
01-Aug-14,284.969,11.819
01-Sep-14,274.48,1.33
01-Oct-14,271.577,-1.573
01-Nov-14,260,-13.15
01-Dec-14,252.986,-20.164
01-Jan-15,243.425,-29.725
01-Feb-15,241.867,-31.283
01-Mar-15,250.142,-23.008
01-Apr-15,262.472,-10.678
01-May-15,269.124,-4.026
01-Jun-15,277.624,4.474
01-Jul-15,281.433,8.283
01-Aug-15,281.484,8.334
01-Sep-15,275.541,2.391
01-Oct-15,268.105,-5.045
01-Nov-15,260.48,-12.67
01-Dec-15,251.95,-21.2
01-Jan-16,251.795,-21.355
01-Feb-16,249.842,-23.308
01-Mar-16,252.261,-20.889
01-Apr-16,260.173,-12.977
01-May-16,270.678,-2.472
01-Jun-16,276.808,3.658
01-Jul-16,282.656,9.506
01-Aug-16,281.956,8.806
01-Sep-16,276.028,2.878
01-Oct-16,267.497,-5.653
01-Nov-16,262.337,-10.813
01-Dec-16,247.645,-25.505
01-Jan-17,251.001,-22.149
01-Feb-17,248.052,-25.098
01-Mar-17,252.678,-20.472
01-Apr-17,261.019,-12.131
01-May-17,270.933,-2.217
01-Jun-17,276.609,3.459
01-Jul-17,282.597,9.447
01-Aug-17,281.896,8.746
01-Sep-17,276.466,3.316
01-Oct-17,270.314,-2.836
01-Nov-17,262.813,-10.337
01-Dec-17,257.083,-16.067
01-Jan-18,248.695,-24.455
01-Feb-18,244.182,-28.968
01-Mar-18,262.648,-10.502
01-Apr-18,259.803,-13.347
01-May-18,264.837,-8.313
01-Jun-18,272.613,-0.537
01-Jul-18,281.7,8.55
01-Aug-18,281.426,8.276
01-Sep-18,274.251,1.101
01-Oct-18,265.907,-7.243
01-Nov-18,259.831,-13.319
01-Dec-18,253.604,-19.546
01-Jan-19,246.017,-27.133
01-Feb-19,249.028,-24.122
01-Mar-19,253.489,-19.661
01-Apr-19,262.951,-10.199
01-May-19,273.688,0.538
01-Jun-19,278.545,5.395
01-Jul-19,281.778,8.628
01-Aug-19,280.832,7.682
01-Sep-19,276.919,3.769
01-Oct-19,272.609,-0.541
01-Nov-19,263.655,-9.495
01-Dec-19,255.482,-17.668
01-Jan-20,247.742,-25.408
01-Feb-20,247.247,-25.903
01-Mar-20,254.5,-18.65
01-Apr-20,264.095,-9.055
01-May-20,269.541,-3.609
01-Jun-20,275.263,2.113
